Control,FL,DH,Lck-DH,DHPH,Lck-DHPH
0.003531301,0.033775426,0.00180281,0.004646973,0.020933389,0.025257325
0.000937032,0.041710152,0.001243398,0.004288488,0.010766917,0.032858379
-0.000378954,0.037022126,0.001603758,0.002734046,0.012702632,0.002628391
0.000244321,0.02666345,0.001266114,0.003370258,0.009524058,0.029354818
-0.00022908,0.014598938,0.003343392,0.003471689,0.007628119,0.027599319
0.000150244,0.037508454,0.001304503,0.004505223,0.006471589,0.022699614
-5.06E-05,0.018161175,0.001525856,0.00425635,0.005786423,0.015021859
0.00039705,0.015005991,0.000749655,0.002099782,0.001900823,0.026553155
0.000294161,0.024961454,0.000477374,0.00294089,0.010528112,0.020979084
9.92E-05,0.024088655,0.002076162,0.003514651,0.005034559,0.018487136
0.000517641,0.021785582,0.000269514,0.002400983,0.003851908,0.015979326
0.000288952,0.030569125,0.001896942,0.003686862,0.015147487,0.012367632
1.63E-05,0.026807615,0.000557105,0.002063017,0.006992906,0.003399292
-4.19E-05,0.014803518,0.000712793,0.003470426,0.00700535,0.012466805
0.000191379,0.027285581,0.001114924,0.004084395,0.00748318,0.022872355
8.56E-05,0.008344446,0.000517997,0.001884379,0.008182422,0.001618105
0.000312444,0.00788419,0.000414297,0.00077468,0.008400071,0.017382144
0.000309542,0.036700591,0.001183719,0.000844319,0.006957544,0.012319324
,,0.000548541,0.001486045,0.006837991,0.001016385
,,,0.002881922,0.009223659,0.017195995
,,,0.003641475,,0.01303635
,,,0.001932505,,
